variable;variable_old;item;text;info
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
gender;gender;NA;Mit welchem Geschlecht identifizieren Sie sich am ehesten?;"{""ImportId"":""QID3""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren ein.;"{""ImportId"":""QID4_TEXT""}"
edu;edu;NA;Was ist Ihr höchster Bildungsabschluss?;"{""ImportId"":""QID5""}"
jobstatus;jobstatus;Selected Choice;Was beschreibt Ihren aktuellen Beschäftigungsstatus am ehesten? - Selected Choice;"{""ImportId"":""QID6""}"
jobstatus_8_TEXT;jobstatus_8_TEXT;Sonstiges (bitte angeben) – Text;Was beschreibt Ihren aktuellen Beschäftigungsstatus am ehesten? - Sonstiges (bitte angeben) – Text;"{""ImportId"":""QID6_8_TEXT""}"
urban;urban;NA;Was beschreibt ihren aktuellen Wohnort am ehesten?;"{""ImportId"":""QID8""}"
AD_1;AD_1;Ich erledige alltägliche Verwaltungstätigkeiten bevorzugt online.;Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Ich erledige alltägliche Verwaltungstätigkeiten bevorzugt online.;"{""ImportId"":""QID37_1""}"
AD_2;AD_2;Bei Terminen wie Arztbesuchen oder Anmeldungen wähle ich meist den digitalen Weg.;Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Bei Terminen wie Arztbesuchen oder Anmeldungen wähle ich meist den digitalen Weg.;"{""ImportId"":""QID37_2""}"
AD_3;AD_3;Wenn sowohl ein digitaler als auch ein analoger Weg möglich ist, entscheide ich mich in der Regel für die digitale Option.;Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Wenn sowohl ein digitaler als auch ein analoger Weg möglich ist, entscheide ich mich in der Regel für die digitale Option.;"{""ImportId"":""QID37_3""}"
